,text,kalimat_clean,kalimat_en,sentiment,sentiment_label
0,"rekomendasi kosan hari ini adala kos parman minara bandara soekarno hatta taman mahkota benda tangerang 912pa

kosa… https://t.co/7xfgwzwsjr",rekomendasi kosan adala kos parman minara bandara soekarno hatta taman mahkota benda tangerang ,"The recommendation for boarding houses is Parman Minara boarding house Soekarno Hatta Airport, Taman Mahkota Benda, Tangerang",0.0,netral
1,"haloo ges, rekomendasi kosan hari ini adalah  kos pegangsaan tipe a kelapa dua jakarta utara

kosannya sudah isian… https://t.co/h6agqi10go",haloo ges rekomendasi kosan kos pegangsaan tipe kelapa jakaa utara kosannya ,"hello guys, recommendations for the boarding house for the Kelapa Jaka type North Jakarta boarding house",0.0,netral
2,@ngalamfess cek mamikos aja nder banyak bgt wkwk :(, cek mamikos aja nder bgt ,"check mamikos, it's great",0.8,positif
3,coba dulu maba uda tau apk mamikos,coba maba uda tau apk mamikos,try mamikos already know apk mamikos,0.0,netral
4,"haloo ges, rekomendasi kosan hari ini adalah kos hans sungai bambu tanjung priuk jakarta utara

kosannya sudah isia… https://t.co/8lhjqtbovn",haloo ges rekomendasi kosan kos hans sungai bambu tanjung priuk jakaa utara kosannya ,"hello ges recommendation for Hans boarding house, bamboo river, cape priuk, jakaa north of his boarding house",0.0,netral
5,@syauur cari mamikos cin,syauur cari mamikos cin,syauur cari mamikos cin,0.0,netral
6,"rekomendasi kosan hari ini adalah  kos blessing house tipe b suko manunggal surabaya 429583bl

kosannya sudah isian… https://t.co/dpv0uvkbym",rekomendasi kosan kos blessing house tipe suko manunggal surabaya kosannya ,"Suko Manunggal Suko type boarding house recommendation, Surabaya boarding house",0.0,netral
7,"haloo ges, rekomendasi kosan hari ini adalah kos bintaro plaza pondok aren tangerang selatan

kosannya sudah isian… https://t.co/iqus5amzpj",haloo ges rekomendasi kosan kos bintaro plaza pondok aren tangerang selatan kosannya ,"hello ges, recommendations for the boarding house of Bintaro Plaza, Pondok Aren, South Tangerang, his boarding house",0.0,netral
8,"haloo ges, rekomendasi kosan hari ini adalah kos campur di jakarta pusat. namanya kos brantas gambir jakarta pusat… https://t.co/01cjoexcbi",haloo ges rekomendasi kosan kos campur jakaa pusat namanya kos brantas gambir jakaa ,"hello guys, the recommendation for the boarding house for the mixed jakaa center, the name is kos brantas gambir jakaa",-0.05,negatif
9,@undipmenfess ada kamar kosong di kost go green banyumanik semarang. cek review &amp; survei kost online via virtual to… https://t.co/sdgjfom0cb, kamar kosong kost go green banyumanik semarang cek review amp survei kost online via viual ,"empty room boarding go green, banyumanik, semarang, check reviews & online boarding surveys via viual",-0.15000000000000002,negatif
